,question,answer,source,length
0,"What is the purpose of the Digital Personal Data Protection Bill, 2022?","The purpose of this Act is to provide for the processing of digital personal data in a manner that recognizes both the right of individuals to protect their personal data and the need to process personal data for lawful purposes, and for matters connected therewith or incidental thereto.","The Digital Personal Data Potection Bill, 2022_0.pdf",288
1,What is the definition of 'automated' in the context of this Act?,'Automated' means any digital process capable of operating automatically in response to instructions given or otherwise for the purpose of processing data.,"The Digital Personal Data Potection Bill, 2022_0.pdf",155
2,Who is considered a 'child' under this Act?,A 'child' means an individual who has not completed eighteen years of age.,"The Digital Personal Data Potection Bill, 2022_0.pdf",74
3,What is the definition of 'Data Fiduciary'?,'Data Fiduciary' means any person who alone or in conjunction with other persons determines the purpose and means of processing of personal data.,"The Digital Personal Data Potection Bill, 2022_0.pdf",145
4,What is the definition of 'personal data breach'?,"'Personal data breach' means any unauthorized processing of personal data or accidental disclosure, acquisition, sharing, use, alteration, destruction of or loss of access to personal data, that compromises the confidentiality, integrity or availability of personal data.","The Digital Personal Data Potection Bill, 2022_0.pdf",271
5,What are the grounds for processing digital personal data under this Act?,"A person may process the personal data of a Data Principal only in accordance with the provisions of this Act and Rules made thereunder, for a lawful purpose for which the Data Principal has given or is deemed to have given her consent in accordance with the provisions of this Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",282
6,What is the requirement for notice to be given to the Data Principal by the Data Fiduciary?,"On or before requesting a Data Principal for her consent, a Data Fiduciary shall give to the Data Principal an itemized notice in clear and plain language containing a description of personal data sought to be collected by the Data Fiduciary and the purpose of processing of such personal data.","The Digital Personal Data Potection Bill, 2022_0.pdf",294
7,What is the definition of 'processing' in relation to personal data?,"'Processing' means an automated operation or set of operations performed on digital personal data, and may include operations such as collection, recording, organization, structuring, storage, adaptation, alteration, retrieval, use, alignment or combination, indexing, sharing, disclosure by transmission, dissemination or otherwise making available, restriction, erasure or destruction.","The Digital Personal Data Potection Bill, 2022_0.pdf",387
8,What is the application of this Act to the processing of digital personal data?,"The provisions of this Act shall apply to the processing of digital personal data within the territory of India where such personal data is collected from Data Principals online, and also to processing of digital personal data outside the territory of India, if such processing is in connection with any profiling of, or activity of offering goods or services to Data Principals within the territory of India.","The Digital Personal Data Potection Bill, 2022_0.pdf",409
9,What are the exceptions to the application of this Act?,"The provisions of this Act shall not apply to non-automated processing of personal data, offline personal data, personal data processed by an individual for any personal or domestic purpose, and personal data about an individual that is contained in a record that has been in existence for at least 100 years.","The Digital Personal Data Potection Bill, 2022_0.pdf",309
