,question,answer,context
0,What is the short title of the Act mentioned in the context?,"The short title of the Act mentioned in the context is the Digital Personal Data Protection Act, 2023.","THE DIGITAL PERSONAL DATA PROTECTION ACT, 2023
(NO. 22 OF 2023)
[11th August , 2023.]
An Act to provide for the processing of digital personal data in a manner that
recognises both the right of individuals to protect their personal data and theneed to process such personal data for lawful purposes and for mattersconnected therewith or incidental thereto.
BE it enacted by Parliament in the Seventy-fourth Year of the Republic of India as
follows:––
CHAPTER I
PRELIMINARY
1. (1) This Act may be called the Digital Personal Data Protection Act, 2023.
(2)  It shall come into force on such date as the Central Government may, by notification
in the Official Gazette, appoint and different dates may be appointed for different provisionsof this Act and any reference in any such provision to the commencement of this Act shallbe construed as a reference to the coming into force of that provision.Short title andcommencement.vlk/kkj.k
EXTRAORDINARY
Hkkx  II — [k.M 1
PART II — Section 1
izkf/kdkj ls izdkf'kr
PUBLISHED  BY  AUTHORITY
lañ   25] ubZ fnYyh] 'kqØokj] vxLr 11] 2023@Jko.k 20] 1945 ¼'kd½
No. 25] NEW DELHI, FRIDAY, AUGUST 11, 2023/SRAV ANA 20, 1945 (SAKA)
bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA
Separate paging is given to this Part in order that it may be filed as a separate compilation.xxxGIDHxxx
xxxGIDExxx
jftLVªh lañ Mhñ ,yñ —(,u)04@0007@2003 —23 REGISTERED NO. DL—(N)04/0007/2003—23
MINISTRY OF LA W AND JUSTICE
(Legislative Department)
New Delhi, the 11th August, 2023/ Sravana 20, 1945  ( Saka )
The following Act of Parliament received the assent of the President on the
11th August, 2023 and is hereby published for general information:—
सी.जी.-डी.एल.-अ.-12082023-248045
CG-DL-E-12082023-248045"
1,"When did the President give assent to the Digital Personal Data Protection Act, 2023?","The President gave assent to the Digital Personal Data Protection Act, 2023 on the 11th of August, 2023.","THE DIGITAL PERSONAL DATA PROTECTION ACT, 2023
(NO. 22 OF 2023)
[11th August , 2023.]
An Act to provide for the processing of digital personal data in a manner that
recognises both the right of individuals to protect their personal data and theneed to process such personal data for lawful purposes and for mattersconnected therewith or incidental thereto.
BE it enacted by Parliament in the Seventy-fourth Year of the Republic of India as
follows:––
CHAPTER I
PRELIMINARY
1. (1) This Act may be called the Digital Personal Data Protection Act, 2023.
(2)  It shall come into force on such date as the Central Government may, by notification
in the Official Gazette, appoint and different dates may be appointed for different provisionsof this Act and any reference in any such provision to the commencement of this Act shallbe construed as a reference to the coming into force of that provision.Short title andcommencement.vlk/kkj.k
EXTRAORDINARY
Hkkx  II — [k.M 1
PART II — Section 1
izkf/kdkj ls izdkf'kr
PUBLISHED  BY  AUTHORITY
lañ   25] ubZ fnYyh] 'kqØokj] vxLr 11] 2023@Jko.k 20] 1945 ¼'kd½
No. 25] NEW DELHI, FRIDAY, AUGUST 11, 2023/SRAV ANA 20, 1945 (SAKA)
bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA
Separate paging is given to this Part in order that it may be filed as a separate compilation.xxxGIDHxxx
xxxGIDExxx
jftLVªh lañ Mhñ ,yñ —(,u)04@0007@2003 —23 REGISTERED NO. DL—(N)04/0007/2003—23
MINISTRY OF LA W AND JUSTICE
(Legislative Department)
New Delhi, the 11th August, 2023/ Sravana 20, 1945  ( Saka )
The following Act of Parliament received the assent of the President on the
11th August, 2023 and is hereby published for general information:—
सी.जी.-डी.एल.-अ.-12082023-248045
CG-DL-E-12082023-248045"
2,"What is the purpose of the Digital Personal Data Protection Act, 2023?","The purpose of the Digital Personal Data Protection Act, 2023 is to provide for the processing of digital personal data in a manner that recognizes both the right of individuals to protect their personal data and the need to process such personal data for lawful purposes.","THE DIGITAL PERSONAL DATA PROTECTION ACT, 2023
(NO. 22 OF 2023)
[11th August , 2023.]
An Act to provide for the processing of digital personal data in a manner that
recognises both the right of individuals to protect their personal data and theneed to process such personal data for lawful purposes and for mattersconnected therewith or incidental thereto.
BE it enacted by Parliament in the Seventy-fourth Year of the Republic of India as
follows:––
CHAPTER I
PRELIMINARY
1. (1) This Act may be called the Digital Personal Data Protection Act, 2023.
(2)  It shall come into force on such date as the Central Government may, by notification
in the Official Gazette, appoint and different dates may be appointed for different provisionsof this Act and any reference in any such provision to the commencement of this Act shallbe construed as a reference to the coming into force of that provision.Short title andcommencement.vlk/kkj.k
EXTRAORDINARY
Hkkx  II — [k.M 1
PART II — Section 1
izkf/kdkj ls izdkf'kr
PUBLISHED  BY  AUTHORITY
lañ   25] ubZ fnYyh] 'kqØokj] vxLr 11] 2023@Jko.k 20] 1945 ¼'kd½
No. 25] NEW DELHI, FRIDAY, AUGUST 11, 2023/SRAV ANA 20, 1945 (SAKA)
bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA
Separate paging is given to this Part in order that it may be filed as a separate compilation.xxxGIDHxxx
xxxGIDExxx
jftLVªh lañ Mhñ ,yñ —(,u)04@0007@2003 —23 REGISTERED NO. DL—(N)04/0007/2003—23
MINISTRY OF LA W AND JUSTICE
(Legislative Department)
New Delhi, the 11th August, 2023/ Sravana 20, 1945  ( Saka )
The following Act of Parliament received the assent of the President on the
11th August, 2023 and is hereby published for general information:—
सी.जी.-डी.एल.-अ.-12082023-248045
CG-DL-E-12082023-248045"
3,"Can different provisions of the Digital Personal Data Protection Act, 2023 come into force on different dates?","Yes, the Central Government may appoint different dates for different provisions of the Digital Personal Data Protection Act, 2023 to come into force.","THE DIGITAL PERSONAL DATA PROTECTION ACT, 2023
(NO. 22 OF 2023)
[11th August , 2023.]
An Act to provide for the processing of digital personal data in a manner that
recognises both the right of individuals to protect their personal data and theneed to process such personal data for lawful purposes and for mattersconnected therewith or incidental thereto.
BE it enacted by Parliament in the Seventy-fourth Year of the Republic of India as
follows:––
CHAPTER I
PRELIMINARY
1. (1) This Act may be called the Digital Personal Data Protection Act, 2023.
(2)  It shall come into force on such date as the Central Government may, by notification
in the Official Gazette, appoint and different dates may be appointed for different provisionsof this Act and any reference in any such provision to the commencement of this Act shallbe construed as a reference to the coming into force of that provision.Short title andcommencement.vlk/kkj.k
EXTRAORDINARY
Hkkx  II — [k.M 1
PART II — Section 1
izkf/kdkj ls izdkf'kr
PUBLISHED  BY  AUTHORITY
lañ   25] ubZ fnYyh] 'kqØokj] vxLr 11] 2023@Jko.k 20] 1945 ¼'kd½
No. 25] NEW DELHI, FRIDAY, AUGUST 11, 2023/SRAV ANA 20, 1945 (SAKA)
bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA
Separate paging is given to this Part in order that it may be filed as a separate compilation.xxxGIDHxxx
xxxGIDExxx
jftLVªh lañ Mhñ ,yñ —(,u)04@0007@2003 —23 REGISTERED NO. DL—(N)04/0007/2003—23
MINISTRY OF LA W AND JUSTICE
(Legislative Department)
New Delhi, the 11th August, 2023/ Sravana 20, 1945  ( Saka )
The following Act of Parliament received the assent of the President on the
11th August, 2023 and is hereby published for general information:—
सी.जी.-डी.एल.-अ.-12082023-248045
CG-DL-E-12082023-248045"
4,"Which year of the Republic of India is mentioned in the context of the Digital Personal Data Protection Act, 2023?","The Seventy-fourth Year of the Republic of India is mentioned in the context of the Digital Personal Data Protection Act, 2023.","THE DIGITAL PERSONAL DATA PROTECTION ACT, 2023
(NO. 22 OF 2023)
[11th August , 2023.]
An Act to provide for the processing of digital personal data in a manner that
recognises both the right of individuals to protect their personal data and theneed to process such personal data for lawful purposes and for mattersconnected therewith or incidental thereto.
BE it enacted by Parliament in the Seventy-fourth Year of the Republic of India as
follows:––
CHAPTER I
PRELIMINARY
1. (1) This Act may be called the Digital Personal Data Protection Act, 2023.
(2)  It shall come into force on such date as the Central Government may, by notification
in the Official Gazette, appoint and different dates may be appointed for different provisionsof this Act and any reference in any such provision to the commencement of this Act shallbe construed as a reference to the coming into force of that provision.Short title andcommencement.vlk/kkj.k
EXTRAORDINARY
Hkkx  II — [k.M 1
PART II — Section 1
izkf/kdkj ls izdkf'kr
PUBLISHED  BY  AUTHORITY
lañ   25] ubZ fnYyh] 'kqØokj] vxLr 11] 2023@Jko.k 20] 1945 ¼'kd½
No. 25] NEW DELHI, FRIDAY, AUGUST 11, 2023/SRAV ANA 20, 1945 (SAKA)
bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA
Separate paging is given to this Part in order that it may be filed as a separate compilation.xxxGIDHxxx
xxxGIDExxx
jftLVªh lañ Mhñ ,yñ —(,u)04@0007@2003 —23 REGISTERED NO. DL—(N)04/0007/2003—23
MINISTRY OF LA W AND JUSTICE
(Legislative Department)
New Delhi, the 11th August, 2023/ Sravana 20, 1945  ( Saka )
The following Act of Parliament received the assent of the President on the
11th August, 2023 and is hereby published for general information:—
सी.जी.-डी.एल.-अ.-12082023-248045
CG-DL-E-12082023-248045"
5,What is the definition of 'Data Fiduciary' according to the given context?,A Data Fiduciary is any person who alone or in conjunction with other persons determines the purpose and means of processing of personal data.,"2 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
2. In this Act, unless the context otherwise requires,—
(a) “Appellate Tribunal” means the Telecom Disputes Settlement and  Appellate
Tribunal established under section 14 of the Telecom Regulatory Authority of IndiaAct, 1997;
(b) “automated” means any digital process capable of operating automatically
in response to instructions given or otherwise for the purpose of processing data;
(c) “Board” means the Data Protection Board of India established by the Central
Government under section 18;
(d) “certain legitimate uses” means the uses referred to in section 7;
(e) “Chairperson” means the  Chairperson of  the Board;
(f) “child” means an individual who has not completed the age of eighteen
years;
(g) “Consent Manager” means a person registered with the Board, who acts as
a single point of contact to enable a Data Principal to give, manage, review andwithdraw her consent through an accessible, transparent and interoperable platform;
(h) “data” means a representation of information, facts, concepts, opinions or
instructions in a manner suitable for communication, interpretation or processing byhuman beings  or by automated means;
(i) “Data Fiduciary” means any person who alone or in conjunction with other
persons determines the purpose and means of processing of personal data;
(j) “Data Principal” means the individual to whom the personal data relates and
where such individual is—
(i) a child, includes the parents or lawful guardian of such a child;
(ii) a person with disability, includes her lawful guardian, acting on her
behalf;
(k) “Data Processor” means any person who processes personal data on behalf
of a Data Fiduciary;
(l) “Data Protection Officer” means an individual appointed by the Significant
Data Fiduciary under clause ( a) of sub-section ( 2) of section 10;
(m) “digital office” means an office that adopts an online mechanism wherein
the proceedings, from receipt of intimation or complaint or reference or directions orappeal, as the case may be, to the disposal thereof, are conducted in online or digitalmode;
(n) “digital personal data” means personal data in digital form;
(o) “gain” means—
(i) a gain in property or supply of services, whether temporary or
permanent; or
(ii) an opportunity to earn remuneration or greater remuneration or to
gain a financial advantage otherwise than by way of legitimate remuneration;
(p) “loss” means—
(i) a loss in property or interruption in supply of services, whether
temporary or permanent; or
(ii) a loss of opportunity to earn remuneration or greater remuneration or
to gain a financial advantage otherwise than by way of legitimate remuneration;Definitions.
24 of 1997."
6,How is a 'child' defined in the given context?,"In the given context, a 'child' means an individual who has not completed the age of eighteen years.","2 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
2. In this Act, unless the context otherwise requires,—
(a) “Appellate Tribunal” means the Telecom Disputes Settlement and  Appellate
Tribunal established under section 14 of the Telecom Regulatory Authority of IndiaAct, 1997;
(b) “automated” means any digital process capable of operating automatically
in response to instructions given or otherwise for the purpose of processing data;
(c) “Board” means the Data Protection Board of India established by the Central
Government under section 18;
(d) “certain legitimate uses” means the uses referred to in section 7;
(e) “Chairperson” means the  Chairperson of  the Board;
(f) “child” means an individual who has not completed the age of eighteen
years;
(g) “Consent Manager” means a person registered with the Board, who acts as
a single point of contact to enable a Data Principal to give, manage, review andwithdraw her consent through an accessible, transparent and interoperable platform;
(h) “data” means a representation of information, facts, concepts, opinions or
instructions in a manner suitable for communication, interpretation or processing byhuman beings  or by automated means;
(i) “Data Fiduciary” means any person who alone or in conjunction with other
persons determines the purpose and means of processing of personal data;
(j) “Data Principal” means the individual to whom the personal data relates and
where such individual is—
(i) a child, includes the parents or lawful guardian of such a child;
(ii) a person with disability, includes her lawful guardian, acting on her
behalf;
(k) “Data Processor” means any person who processes personal data on behalf
of a Data Fiduciary;
(l) “Data Protection Officer” means an individual appointed by the Significant
Data Fiduciary under clause ( a) of sub-section ( 2) of section 10;
(m) “digital office” means an office that adopts an online mechanism wherein
the proceedings, from receipt of intimation or complaint or reference or directions orappeal, as the case may be, to the disposal thereof, are conducted in online or digitalmode;
(n) “digital personal data” means personal data in digital form;
(o) “gain” means—
(i) a gain in property or supply of services, whether temporary or
permanent; or
(ii) an opportunity to earn remuneration or greater remuneration or to
gain a financial advantage otherwise than by way of legitimate remuneration;
(p) “loss” means—
(i) a loss in property or interruption in supply of services, whether
temporary or permanent; or
(ii) a loss of opportunity to earn remuneration or greater remuneration or
to gain a financial advantage otherwise than by way of legitimate remuneration;Definitions.
24 of 1997."
7,What is the role of a 'Consent Manager' as per the given context?,"A Consent Manager, as per the given context, is a person registered with the Board, who acts as a single point of contact to enable a Data Principal to give, manage, review and withdraw her consent through an accessible, transparent and interoperable platform.","2 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
2. In this Act, unless the context otherwise requires,—
(a) “Appellate Tribunal” means the Telecom Disputes Settlement and  Appellate
Tribunal established under section 14 of the Telecom Regulatory Authority of IndiaAct, 1997;
(b) “automated” means any digital process capable of operating automatically
in response to instructions given or otherwise for the purpose of processing data;
(c) “Board” means the Data Protection Board of India established by the Central
Government under section 18;
(d) “certain legitimate uses” means the uses referred to in section 7;
(e) “Chairperson” means the  Chairperson of  the Board;
(f) “child” means an individual who has not completed the age of eighteen
years;
(g) “Consent Manager” means a person registered with the Board, who acts as
a single point of contact to enable a Data Principal to give, manage, review andwithdraw her consent through an accessible, transparent and interoperable platform;
(h) “data” means a representation of information, facts, concepts, opinions or
instructions in a manner suitable for communication, interpretation or processing byhuman beings  or by automated means;
(i) “Data Fiduciary” means any person who alone or in conjunction with other
persons determines the purpose and means of processing of personal data;
(j) “Data Principal” means the individual to whom the personal data relates and
where such individual is—
(i) a child, includes the parents or lawful guardian of such a child;
(ii) a person with disability, includes her lawful guardian, acting on her
behalf;
(k) “Data Processor” means any person who processes personal data on behalf
of a Data Fiduciary;
(l) “Data Protection Officer” means an individual appointed by the Significant
Data Fiduciary under clause ( a) of sub-section ( 2) of section 10;
(m) “digital office” means an office that adopts an online mechanism wherein
the proceedings, from receipt of intimation or complaint or reference or directions orappeal, as the case may be, to the disposal thereof, are conducted in online or digitalmode;
(n) “digital personal data” means personal data in digital form;
(o) “gain” means—
(i) a gain in property or supply of services, whether temporary or
permanent; or
(ii) an opportunity to earn remuneration or greater remuneration or to
gain a financial advantage otherwise than by way of legitimate remuneration;
(p) “loss” means—
(i) a loss in property or interruption in supply of services, whether
temporary or permanent; or
(ii) a loss of opportunity to earn remuneration or greater remuneration or
to gain a financial advantage otherwise than by way of legitimate remuneration;Definitions.
24 of 1997."
8,What is the definition of 'data' in the given context?,"In the given context, 'data' means a representation of information, facts, concepts, opinions or instructions in a manner suitable for communication, interpretation or processing by human beings or by automated means.","2 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
2. In this Act, unless the context otherwise requires,—
(a) “Appellate Tribunal” means the Telecom Disputes Settlement and  Appellate
Tribunal established under section 14 of the Telecom Regulatory Authority of IndiaAct, 1997;
(b) “automated” means any digital process capable of operating automatically
in response to instructions given or otherwise for the purpose of processing data;
(c) “Board” means the Data Protection Board of India established by the Central
Government under section 18;
(d) “certain legitimate uses” means the uses referred to in section 7;
(e) “Chairperson” means the  Chairperson of  the Board;
(f) “child” means an individual who has not completed the age of eighteen
years;
(g) “Consent Manager” means a person registered with the Board, who acts as
a single point of contact to enable a Data Principal to give, manage, review andwithdraw her consent through an accessible, transparent and interoperable platform;
(h) “data” means a representation of information, facts, concepts, opinions or
instructions in a manner suitable for communication, interpretation or processing byhuman beings  or by automated means;
(i) “Data Fiduciary” means any person who alone or in conjunction with other
persons determines the purpose and means of processing of personal data;
(j) “Data Principal” means the individual to whom the personal data relates and
where such individual is—
(i) a child, includes the parents or lawful guardian of such a child;
(ii) a person with disability, includes her lawful guardian, acting on her
behalf;
(k) “Data Processor” means any person who processes personal data on behalf
of a Data Fiduciary;
(l) “Data Protection Officer” means an individual appointed by the Significant
Data Fiduciary under clause ( a) of sub-section ( 2) of section 10;
(m) “digital office” means an office that adopts an online mechanism wherein
the proceedings, from receipt of intimation or complaint or reference or directions orappeal, as the case may be, to the disposal thereof, are conducted in online or digitalmode;
(n) “digital personal data” means personal data in digital form;
(o) “gain” means—
(i) a gain in property or supply of services, whether temporary or
permanent; or
(ii) an opportunity to earn remuneration or greater remuneration or to
gain a financial advantage otherwise than by way of legitimate remuneration;
(p) “loss” means—
(i) a loss in property or interruption in supply of services, whether
temporary or permanent; or
(ii) a loss of opportunity to earn remuneration or greater remuneration or
to gain a financial advantage otherwise than by way of legitimate remuneration;Definitions.
24 of 1997."
9,What is the definition of 'loss' in the given context?,"In the given context, 'loss' means a loss in property or interruption in supply of services, whether temporary or permanent, or a loss of opportunity to earn remuneration or greater remuneration or to gain a financial advantage otherwise than by way of legitimate remuneration.","2 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
2. In this Act, unless the context otherwise requires,—
(a) “Appellate Tribunal” means the Telecom Disputes Settlement and  Appellate
Tribunal established under section 14 of the Telecom Regulatory Authority of IndiaAct, 1997;
(b) “automated” means any digital process capable of operating automatically
in response to instructions given or otherwise for the purpose of processing data;
(c) “Board” means the Data Protection Board of India established by the Central
Government under section 18;
(d) “certain legitimate uses” means the uses referred to in section 7;
(e) “Chairperson” means the  Chairperson of  the Board;
(f) “child” means an individual who has not completed the age of eighteen
years;
(g) “Consent Manager” means a person registered with the Board, who acts as
a single point of contact to enable a Data Principal to give, manage, review andwithdraw her consent through an accessible, transparent and interoperable platform;
(h) “data” means a representation of information, facts, concepts, opinions or
instructions in a manner suitable for communication, interpretation or processing byhuman beings  or by automated means;
(i) “Data Fiduciary” means any person who alone or in conjunction with other
persons determines the purpose and means of processing of personal data;
(j) “Data Principal” means the individual to whom the personal data relates and
where such individual is—
(i) a child, includes the parents or lawful guardian of such a child;
(ii) a person with disability, includes her lawful guardian, acting on her
behalf;
(k) “Data Processor” means any person who processes personal data on behalf
of a Data Fiduciary;
(l) “Data Protection Officer” means an individual appointed by the Significant
Data Fiduciary under clause ( a) of sub-section ( 2) of section 10;
(m) “digital office” means an office that adopts an online mechanism wherein
the proceedings, from receipt of intimation or complaint or reference or directions orappeal, as the case may be, to the disposal thereof, are conducted in online or digitalmode;
(n) “digital personal data” means personal data in digital form;
(o) “gain” means—
(i) a gain in property or supply of services, whether temporary or
permanent; or
(ii) an opportunity to earn remuneration or greater remuneration or to
gain a financial advantage otherwise than by way of legitimate remuneration;
(p) “loss” means—
(i) a loss in property or interruption in supply of services, whether
temporary or permanent; or
(ii) a loss of opportunity to earn remuneration or greater remuneration or
to gain a financial advantage otherwise than by way of legitimate remuneration;Definitions.
24 of 1997."
