,Unnamed: 0,question,answer,source,length
0,0,"What is the name of the regulations made by the Securities and Exchange Board of India in exercise of the powers conferred by section 30 read with clause (g) of sub-section (2) of section 11 and clause (d) and clause (e) of section 12A of the Securities and Exchange Board of India Act, 1992?","SEBI (Prohibition of Insider Trading) Regulations, 2015",1629271161479.pdf,55
1,1,"When do the SEBI (Prohibition of Insider Trading) Regulations, 2015 come into force?",The one hundred and twentieth day from the date of its publication in the Official Gazette,1629271161479.pdf,90
2,2,"What is the definition of a 'compliance officer' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?","A senior officer, designated so and reporting to the board of directors or head of the organization, who is financially literate and is capable of appreciating requirements for legal and regulatory compliance under these regulations",1629271161479.pdf,232
3,3,"What is the meaning of 'connected person' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?","A person who is or has during the six months prior to the concerned act been associated with a company, directly or indirectly, in any capacity including by reason of frequent communication with its officers or by being in any contractual, fiduciary or employment relationship or by being a director, officer or an employee of the company or holds any position including a professional or business relationship between himself and the company whether temporary or permanent, that allows such person, directly or indirectly, access to unpublished price sensitive information or is reasonably expected to allow such access",1629271161479.pdf,620
4,4,"What is the definition of 'generally available information' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?",Information that is accessible to the public on a non-discriminatory basis,1629271161479.pdf,74
5,5,"What is the meaning of 'immediate relative' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?","A spouse of a person, and includes parent, sibling, and child of such person or of the spouse, any of whom is either dependent financially on such person, or consults such person in taking decisions relating to trading in securities",1629271161479.pdf,232
6,6,"Who is an 'insider' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?",Any person who is a connected person or in possession of or having access to unpublished price sensitive information,1629271161479.pdf,116
7,7,"What is the meaning of 'promoter' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?","The meaning assigned to it under the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018 or any modification thereof",1629271161479.pdf,168
8,8,"What is the meaning of 'promoter group' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?","The meaning assigned to it under the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018 or any modification thereof",1629271161479.pdf,168
9,9,"What is the meaning of 'proposed to be listed' under the SEBI (Prohibition of Insider Trading) Regulations, 2015?","Securities of an unlisted company that has filed offer documents or other documents with the Board, stock exchange(s) or registrar of companies in connection with the listing",1629271161479.pdf,174
10,10,What is meant by 'specified' in the context of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,Specified means specified by the Board in writing.,1629271161479.pdf,50
11,11,What is included in the definition of 'trading' under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"Trading means and includes subscribing, buying, selling, dealing, or agreeing to subscribe, buy, sell, deal in any securities, and 'trade' shall be construed accordingly.",1629271161479.pdf,170
12,12,What is meant by 'unpublished price sensitive information' under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"Unpublished price sensitive information means any information, relating to a company or its securities, directly or indirectly, that is not generally available which upon becoming generally available, is likely to materially affect the price of the securities.",1629271161479.pdf,260
13,13,What is the obligation on insiders who are in possession of unpublished price sensitive information under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,Insiders who are in possession of unpublished price sensitive information shall handle such information with care and to deal with the information on a need-to-know basis.,1629271161479.pdf,171
14,14,"Under what circumstances can unpublished price sensitive information be communicated, provided, allowed access to or procured under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?","Unpublished price sensitive information can be communicated, provided, allowed access to or procured in connection with a transaction that would entail an obligation to make an open offer under the takeover regulations where the board of directors of the listed company is of informed opinion that sharing of such information is in the best interests of the company.",1629271161479.pdf,366
15,15,What is the responsibility of the board of directors of a listed company under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,The board of directors of a listed company shall make a policy for determination of 'legitimate purposes' as a part of 'Codes of Fair Disclosure and Conduct' formulated under regulation 8.,1629271161479.pdf,188
16,16,Who is considered an insider under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,Any person in receipt of unpublished price sensitive information pursuant to a 'legitimate purpose' shall be considered an 'insider' for purposes of these regulations.,1629271161479.pdf,167
17,17,What is the obligation on parties who receive unpublished price sensitive information under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,Parties who receive unpublished price sensitive information shall execute agreements to contract confidentiality and non-disclosure obligations on the part of such parties and such parties shall keep information so received confidential.,1629271161479.pdf,237
18,18,What is the requirement for maintaining a structured digital database under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,The board of directors or head(s) of the organisation of every person required to handle unpublished price sensitive information shall ensure that a structured digital database is maintained containing the names of such persons or entities as the case may be with whom information is shared under this regulation along with the Permanent Account Number or any other identifier authorized by law where Permanent Account Number is not available.,1629271161479.pdf,443
19,19,What is the purpose of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,The purpose of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations is to prohibit insider trading and to maintain fair and transparent trading practices in the securities market.,1629271161479.pdf,214
20,20,"According to the regulation, what is the duration for which the structured digital database containing unpublished price sensitive information should be preserved?",The board of directors or head(s) of the organisation of every person required to handle unpublished price sensitive information shall ensure that the structured digital database is preserved for a period of not less than eight years after completion of the relevant transactions.,1629271161479.pdf,280
21,21,Can an insider trade in securities when in possession of unpublished price sensitive information?,"No, an insider shall not trade in securities that are listed or proposed to be listed on a stock exchange when in possession of unpublished price sensitive information.",1629271161479.pdf,168
22,22,Under what circumstances can an insider prove his innocence after trading in securities while in possession of unpublished price sensitive information?,"The insider may prove his innocence by demonstrating the circumstances including that the transaction was carried out through the block deal window mechanism between persons who were in possession of the unpublished price sensitive information without being in breach of regulation 3, or that the transaction was undertaken pursuant to the exercise of stock options in respect of which the exercise price was pre-determined in compliance with applicable regulations.",1629271161479.pdf,466
23,23,Can non-individual insiders trade in securities when in possession of unpublished price sensitive information?,"Yes, non-individual insiders can trade in securities when in possession of unpublished price sensitive information if the individuals who were in possession of such information were different from the individuals taking trading decisions and such decision-making individuals were not in possession of such unpublished price sensitive information when they took the decision to trade.",1629271161479.pdf,383
24,24,What is the purpose of a trading plan under the regulation?,"A trading plan is intended to enable insiders to trade in securities in a compliant manner despite being in possession of unpublished price sensitive information. It allows them to plan for trades to be executed in the future, and the possession of unpublished price sensitive information when a trade under a trading plan is actually executed would not prohibit the execution of such trades.",1629271161479.pdf,392
25,25,What are the requirements for a trading plan under the regulation?,A trading plan shall not entail commencement of trading on behalf of the insider earlier than six months from the public disclosure of the plan.,1629271161479.pdf,144
26,26,Who has the onus of establishing that they were not in possession of unpublished price sensitive information in the case of connected persons?,The onus of establishing that they were not in possession of unpublished price sensitive information is on the connected persons themselves.,1629271161479.pdf,140
27,27,Can the Board specify standards and requirements for the purpose of these regulations?,"Yes, the Board may specify such standards and requirements, from time to time, as it may deem necessary for the purpose of these regulations.",1629271161479.pdf,141
28,28,What is the purpose of maintaining a structured digital database containing unpublished price sensitive information?,The purpose of maintaining a structured digital database is to preserve a record of unpublished price sensitive information and to prevent tampering with such information.,1629271161479.pdf,171
29,29,What happens to the database in the event of receipt of any information from the Board regarding any investigation or enforcement proceedings?,"In the event of receipt of any information from the Board regarding any investigation or enforcement proceedings, the relevant information in the structured digital database shall be preserved till the completion of such proceedings.",1629271161479.pdf,233
30,30,What are the conditions that a trading plan must satisfy in order to be approved under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The trading plan must not entail trading for a period between the twentieth trading day prior to the last day of any financial period for which results are required to be announced by the issuer of the securities and the second trading day after the disclosure of such financial results. It must also entail trading for a period of not less than twelve months, and must not entail overlap of any period for which another trading plan is already in existence.",1629271161479.pdf,458
31,31,What is the purpose of requiring a trading plan to be approved by a compliance officer?,"The purpose is to ensure that the trading plan does not entail trading on the basis of unpublished price-sensitive information, and to prevent insider trading abuses.",1629271161479.pdf,166
32,32,Can an insider deviate from a trading plan that has been approved by a compliance officer?,"No, an insider cannot deviate from a trading plan that has been approved by a compliance officer. The trading plan must be implemented as approved, without any changes.",1629271161479.pdf,168
33,33,What is the requirement for public disclosure of a trading plan?,"Upon approval of the trading plan, the company must notify the plan to the stock exchanges on which the securities are listed.",1629271161479.pdf,126
34,34,What is the purpose of requiring disclosures of trading by insiders?,The purpose is to prevent insider trading abuses and to ensure transparency in the market.,1629271161479.pdf,90
35,35,Who is required to make disclosures of trading under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"Every person who takes trading decisions on behalf of others, including immediate relatives and other persons for whom such person takes trading decisions, is required to make disclosures of trading.",1629271161479.pdf,199
36,36,What is the timeframe for making initial disclosures of holding of securities for key managerial personnel and directors?,Every person on appointment as a key managerial personnel or a director of the company must disclose their holding of securities of the company within seven days of such appointment.,1629271161479.pdf,182
37,37,How long must a company maintain records of disclosures of trading under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,A company must maintain records of disclosures of trading for a minimum period of five years.,1629271161479.pdf,93
38,38,Can a company permit trading in derivatives of securities if it is permitted by law?,"Yes, a company can permit trading in derivatives of securities if it is permitted by law, and must disclose such trading under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations.",1629271161479.pdf,215
39,39,Can a trading plan be initiated by multiple insiders during the same time period?,"No, a trading plan cannot be initiated by multiple insiders during the same time period, as this could potentially lead to insider trading abuses.",1629271161479.pdf,146
40,40,What is the condition for an informant to be eligible for a reward under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The informant must have provided original and voluntary information to the board, and the board must have collected or recovered monetary sanctions amounting to at least twice the reward amount.",1629271161479.pdf,194
41,41,How is the amount of reward determined under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The amount of reward is determined by the board, taking into consideration factors specified by the Informant Incentive Committee, and is 10% of the monetary sanctions imposed, subject to a maximum of Rs. 10 crores.",1629271161479.pdf,215
42,42,What is the role of the Office of Informant Protection under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The Office of Informant Protection is responsible for receiving and registering voluntary information disclosure forms, maintaining confidentiality of informant identity, interacting with informants, and issuing press releases and rewards relating to informants.",1629271161479.pdf,262
43,43,Can an informant claim a reward if they have already reported the matter to their organization as per its internal legal and compliance procedures?,"Yes, an informant may be eligible for a reward whether or not they reported the matter to their organization as per its internal legal and compliance procedures.",1629271161479.pdf,161
44,44,What is the procedure for an informant to claim a reward under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"Informants who are considered tentatively eligible for a reward must submit the Informant Reward Claim Form to the board within the specified period, and provide their identity and other required information before payment of the reward.",1629271161479.pdf,237
45,45,Under what circumstances can the board reject a claim for reward under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The board can reject a claim for reward if the informant does not submit original information, has acquired the information through a regulatory agency or law enforcement organization, has initiated or has been subject to criminal proceedings, has refused to cooperate with the board, or has made false or fictitious statements.",1629271161479.pdf,328
46,46,Can an informant who is obligated to report information to the board under securities laws be eligible for a reward?,"No, an informant who is obligated to report information to the board under securities laws is not eligible for a reward, unless the board exempts them from this disqualification.",1629271161479.pdf,178
47,47,How is the confidentiality of an informant protected under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The Office of Informant Protection is responsible for maintaining the confidentiality of informant identity, and the board may take other measures to protect informant confidentiality.",1629271161479.pdf,184
48,48,Can an informant who has already received an interim reward be eligible for a further reward under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"Yes, an informant who has already received an interim reward may be eligible for a further reward, subject to the conditions specified in the regulations.",1629271161479.pdf,154
