,question,answer,source,length
0,"What is the short title, extent, and commencement of the Credit Information Companies (Regulation) Act, 2005?","The Act may be called the Credit Information Companies (Regulation) Act, 2005, it extends to the whole of India, and it shall come into force on such date as the Central Government may appoint by notification in the Official Gazette.",A2005-30.pdf,233
1,What is the definition of 'credit institution' under the Act?,"Credit institution means a banking company and includes a corresponding new bank, the State Bank of India, a subsidiary bank, a co-operative bank, the National Bank, and regional rural bank, among others.",A2005-30.pdf,204
2,What is the definition of 'credit scoring' under the Act?,Credit scoring means a system which enables a credit institution to assess the credit worthiness and capacity of a borrower to repay his loan and advances and discharge his other obligations in respect of credit facility availed or to be availed by him.,A2005-30.pdf,253
3,What is the definition of 'credit information company' under the Act?,"Credit information company means a company formed and registered under the Companies Act, 1956, and which has been granted a certificate of registration under sub-section (2) of section 5.",A2005-30.pdf,188
4,What is the definition of 'borrower' under the Act?,Borrower means any person who has been granted loan or any other credit facility by a credit institution and includes a client of a credit institution.,A2005-30.pdf,151
5,What is the definition of 'client' under the Act?,"Client includes a guarantor or a person who proposes to give guarantee or security for a borrower of a credit institution, and any person who has obtained or seeks to obtain financial assistance from a credit institution, among others.",A2005-30.pdf,235
6,What is the prohibition under the Act for a company to commence or carry on the business of credit information?,"Save as otherwise provided in this Act, no company shall commence or carry on the business of credit information without obtaining a certificate of registration from the Reserve Bank under this Act.",A2005-30.pdf,198
7,What is the process for a company to apply for registration under the Act?,Every company which intends to commence the business of credit information shall make an application for registration to the Reserve Bank in such form and manner as may be specified by regulations.,A2005-30.pdf,197
8,What is the role of the Reserve Bank under the Act in relation to the registration of credit information companies?,The Reserve Bank shall grant a certificate of registration to a credit information company if it satisfies the conditions specified under sub-section (2) of section 5.,A2005-30.pdf,167
9,What is the appeal process against an order of the Reserve Bank under the Act?,"An appeal may be made against an order of the Reserve Bank under sub-section (2) of section 6, to the Central Government within such period as may be prescribed by regulations.",A2005-30.pdf,176
10,What is the time limit for existing credit information companies to apply for a certificate of registration under the Act?,Six months from the commencement of the Act,A2005-30.pdf,43
11,What are the conditions that the Reserve Bank may require to be satisfied before granting a certificate of registration to a credit information company?,"The conditions include having a minimum capital structure, a general character of management that is not prejudicial to the interest of its specified users or clients, and fulfillment of any other condition that the Reserve Bank may deem necessary to ensure that the business of credit information is not detrimental to the public interest or banking policy.",A2005-30.pdf,358
