,question,answer,source
0,What is Health Technology Assessment (HTA) and what does it involve?,"HTA is a procedure for assessing the added value, effectiveness, costs, and broader impact of health care interventions, including medicines, medical devices, and procedures. It involves evaluating the relative clinical effectiveness, safety, and economic aspects of a health technology.",hta_regulation-implementation_factsheet_en.pdf
1,"What are the clinical domains of HTA, and what do they entail?","The clinical domains of HTA include health problems and currently used health technologies, description of the health technology under assessment, relative clinical effectiveness, and relative safety. These domains are essential in evaluating the clinical benefits and risks of a health technology.",hta_regulation-implementation_factsheet_en.pdf
2,What is the purpose of joint clinical assessments (JCAs) and joint scientific consultations (JSCs) in the EU HTA regulation?,"JCAs and JSCs are conducted to jointly assess the clinical benefits and risks of a health technology, and to provide a common understanding of the technology's effectiveness and safety. This joint work is driven by EU HTA bodies and aims to provide high-quality, timely, and transparent assessments.",hta_regulation-implementation_factsheet_en.pdf
3,"What is the timeline for implementing the EU HTA regulation for medicines, and what are the key milestones?","The EU HTA regulation will be implemented in three stages: 12 January 2025 for new oncology medicines and advanced therapy medicinal products, 13 January 2028 for orphan medicinal products, and 13 January 2030 for all new medicines. This progressive implementation aims to ensure a smooth transition to the new regulation.",hta_regulation-implementation_factsheet_en.pdf
4,"What is the role of the Coordination Group in the EU HTA regulation, and how does it interact with the Stakeholder Network?","The Coordination Group is responsible for facilitating dialogue between stakeholder organisations and the EU HTA bodies. The Stakeholder Network includes patient associations, non-governmental organisations, health technology developers, and health professionals. The Network enables stakeholder engagement and inclusiveness in the HTA process.",hta_regulation-implementation_factsheet_en.pdf
5,"How does the EU HTA regulation address the assessment of medical devices, and what are the key considerations?","The EU HTA regulation addresses the assessment of medical devices, particularly high-risk devices with high impact on patients, public health, and EU health systems. The regulation aims to ensure that medical devices are assessed jointly by EU HTA bodies, taking into account their clinical benefits, safety, and economic aspects.",hta_regulation-implementation_factsheet_en.pdf
6,"What is the purpose of the HTA IT platform, and how does it support the EU HTA regulation?","The HTA IT platform provides administrative support, technical support, and a secure workspace for the Coordination Group and its subgroups. The platform also hosts a public website for HTA public information and a secure workspace for members of the Stakeholder Network.",hta_regulation-implementation_factsheet_en.pdf
7,How does the EU HTA regulation ensure the involvement of independent experts and stakeholder engagement in the HTA process?,"The EU HTA regulation ensures the involvement of independent experts through the Stakeholder Network, which includes patient associations, non-governmental organisations, health technology developers, and health professionals. The regulation also promotes stakeholder engagement and inclusiveness through the Coordination Group and its subgroups.",hta_regulation-implementation_factsheet_en.pdf
8,"What is the role of EUnetHTA 21 in supporting the EU HTA regulation, and what are its key deliverables?","EUnetHTA 21 is a joint consortium of national HTA agencies from 12 EU countries, working under a service contract of the European Commission. Its work focuses on supporting a future EU HTA system under the HTA Regulation, and its deliverables include joint clinical assessments, joint scientific consultations, and methodological guidance documents.",hta_regulation-implementation_factsheet_en.pdf
9,"What are the key principles of the EU HTA regulation, and how do they ensure high-quality and timely assessments?","The key principles of the EU HTA regulation include high-quality, timeliness, and transparency. The regulation ensures that joint work is driven by EU HTA bodies, and that assessments are conducted jointly by Member States. The regulation also promotes stakeholder engagement and inclusiveness, and ensures the involvement of independent experts.",hta_regulation-implementation_factsheet_en.pdf
10,What regulatory framework does a product incorporating both medicinal product and medical device fall under?,The product falls under the regulatory framework of the Regulations on medical devices and in vitro diagnostic medical devices (Regulations (EU) 2017/745 and (EU) 2017/746).,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
